temp_eau,temp_air,humidite,ph,luminosite,ir,temp_delta,heat_index,ph_deviation,clarity_score,uv_index_est,algae_risk,health_score,status,needs_maintenance
38.81,22.6,68.35,6.29,630.34,0.171,16.21,24.77,1.115,0.829,6.78,64.85,48.2,Danger,1
30.59,28.98,63.97,8.29,817.63,0.492,1.61,33.4,0.892,0.508,8.79,69.34,51.8,Warning,1
38.49,18.59,37.61,6.26,672.99,0.419,19.9,17.24,1.137,0.581,7.24,74.68,34.28,Danger,1
32.77,25.01,88.39,8.29,276.76,0.364,7.76,30.23,0.888,0.636,2.98,68.21,59.37,Warning,1
21.47,19.43,90.85,7.31,392.14,0.73,2.03,22.18,0.086,0.27,4.22,48.04,51.91,Warning,1
38.6,38.41,61.16,7.13,1009.32,0.718,0.19,48.02,0.271,0.282,10.85,94.2,38.3,Danger,1
20.61,40.52,71.41,6.37,601.79,0.686,-19.91,54.31,1.034,0.314,6.47,41.09,41.22,Danger,1
27.99,39.76,49.2,7.38,452.49,0.302,-11.77,47.54,0.024,0.698,4.87,33.79,85.38,Normal,0
35.19,18.32,94.81,8.64,290.44,0.837,16.87,20.89,1.238,0.163,3.12,100.0,28.87,Danger,1
39.98,34.97,72.26,6.27,917.67,0.029,5.01,44.31,1.129,0.971,9.87,69.96,42.15,Danger,1
21.15,38.3,42.88,8.73,671.36,0.036,-17.16,43.8,1.332,0.964,7.22,39.18,57.04,Danger,1
19.14,33.18,82.1,6.72,868.95,0.057,-14.04,42.89,0.684,0.943,9.34,27.02,67.13,Danger,1
38.41,38.16,75.38,8.51,41.07,0.202,0.25,50.72,1.114,0.798,0.44,72.73,47.52,Danger,1
31.86,40.53,40.09,8.2,197.48,0.271,-8.67,46.53,0.804,0.729,2.12,48.75,72.48,Warning,1
39.56,33.35,33.54,7.85,43.32,0.884,6.22,35.0,0.449,0.116,0.47,84.21,21.71,Danger,1
21.81,17.75,41.93,8.94,469.11,0.784,4.06,16.56,1.54,0.216,5.04,69.95,26.44,Danger,1
30.59,19.35,91.49,6.9,591.31,0.7,11.24,22.12,0.496,0.3,6.36,71.23,56.33,Warning,1
38.69,19.45,63.04,7.21,485.07,0.119,19.24,20.14,0.188,0.881,5.22,59.28,61.88,Danger,1
24.12,24.14,57.81,7.83,649.23,0.412,-0.02,25.87,0.433,0.588,6.98,31.61,64.56,Warning,0
22.79,32.65,50.61,6.11,428.02,0.474,-9.86,36.86,1.292,0.526,4.6,28.17,53.66,Danger,1
30.59,31.97,75.63,7.94,667.44,0.316,-1.38,39.78,0.544,0.684,7.18,53.2,70.7,Warning,0
30.08,27.94,70.69,7.08,524.53,0.737,2.14,32.7,0.318,0.263,5.64,59.34,61.54,Warning,1
38.26,30.11,63.82,8.4,321.68,0.837,8.15,35.07,1.0,0.163,3.46,98.19,23.45,Danger,1
36.52,16.67,48.24,7.0,176.97,0.314,19.86,15.68,0.398,0.686,1.9,53.93,54.77,Danger,1
18.32,39.82,85.68,7.12,157.15,0.601,-21.49,56.38,0.283,0.399,1.69,35.25,46.81,Warning,1
26.03,43.75,94.71,8.32,318.11,0.688,-17.72,67.71,0.916,0.312,3.42,65.69,43.86,Warning,1
26.53,34.23,30.7,6.63,537.17,0.164,-7.69,35.66,0.773,0.836,5.78,25.7,73.36,Danger,1
36.4,44.67,66.14,8.52,1013.1,0.142,-8.28,61.15,1.117,0.858,10.89,82.58,53.49,Danger,1
26.64,17.4,79.1,7.3,480.12,0.151,9.24,18.58,0.099,0.849,5.16,28.81,82.69,Normal,0
37.96,16.34,45.14,6.88,501.47,0.586,21.62,15.1,0.524,0.414,5.39,76.11,34.28,Danger,1
19.85,22.31,84.83,7.91,664.08,0.67,-2.46,25.83,0.513,0.33,7.14,51.33,45.16,Warning,1
19.28,26.0,65.07,7.02,863.9,0.483,-6.72,29.19,0.385,0.517,9.29,37.88,55.62,Warning,0
36.74,30.14,89.12,7.76,869.83,0.341,6.6,38.68,0.361,0.659,9.35,80.12,51.44,Danger,1
26.77,42.52,71.0,6.53,346.65,0.192,-15.75,58.18,0.867,0.808,3.73,23.93,73.51,Danger,1
38.4,28.45,49.99,7.8,7.48,0.278,9.96,30.82,0.395,0.722,0.08,54.49,52.92,Danger,1
31.94,44.45,70.32,7.43,778.95,0.903,-12.51,61.98,0.033,0.097,8.38,76.88,49.81,Danger,1
39.19,38.46,86.34,6.34,749.26,0.44,0.73,53.73,1.058,0.56,8.06,87.46,29.36,Danger,1
32.39,44.09,94.0,6.86,750.63,0.75,-11.7,68.34,0.535,0.25,8.07,83.31,50.37,Warning,1
20.73,16.23,80.53,7.47,1008.21,0.465,4.5,17.12,0.069,0.535,10.84,45.54,56.03,Warning,0
27.05,38.81,35.51,7.67,820.51,0.925,-11.76,42.89,0.266,0.075,8.82,63.8,55.9,Danger,1
18.81,26.18,33.17,6.33,690.84,0.713,-7.37,25.89,1.072,0.287,7.43,43.39,36.81,Danger,1
37.04,37.18,82.06,6.15,239.93,0.622,-0.14,50.28,1.253,0.378,2.58,75.18,31.07,Danger,1
18.1,30.44,74.02,6.09,410.59,0.896,-12.34,37.03,1.311,0.104,4.41,46.67,28.42,Danger,1
23.23,40.58,52.62,8.56,305.82,0.59,-17.35,49.74,1.16,0.41,3.29,49.19,44.58,Danger,1
24.05,41.6,42.19,6.25,349.79,0.718,-17.55,48.73,1.146,0.282,3.76,36.37,48.2,Danger,1
39.97,23.89,56.52,6.41,588.09,0.998,16.08,25.4,0.99,0.002,6.32,100.0,7.5,Danger,1
31.09,26.77,89.49,7.49,137.46,0.365,4.32,33.13,0.091,0.635,1.48,48.6,74.65,Normal,0
22.44,15.53,59.46,7.9,351.19,0.42,6.91,14.98,0.504,0.58,3.78,26.96,58.25,Warning,0
34.54,31.23,48.5,8.69,240.5,0.325,3.32,34.48,1.291,0.675,2.59,72.09,50.27,Danger,1
29.65,37.27,68.4,7.96,306.27,0.241,-7.62,47.59,0.56,0.759,3.29,37.2,79.42,Warning,0
21.42,41.23,48.41,7.68,810.19,0.784,-19.81,49.75,0.284,0.216,8.71,48.78,51.75,Warning,1
28.48,44.84,73.85,8.44,923.31,0.788,-16.36,63.9,1.044,0.212,9.93,82.82,42.71,Warning,1
30.37,18.06,72.44,8.87,524.52,0.433,12.31,19.0,1.466,0.567,5.64,75.57,52.76,Danger,1
39.12,18.09,32.67,6.74,67.04,0.455,21.02,16.32,0.662,0.545,0.72,64.99,41.47,Danger,1
24.88,16.53,37.25,7.15,61.92,0.698,8.35,14.84,0.246,0.302,0.67,31.89,60.0,Warning,1
24.65,26.82,57.08,6.0,114.65,0.863,-2.18,29.45,1.395,0.137,1.23,38.91,38.66,Danger,1
29.18,29.69,51.65,7.29,798.53,0.841,-0.51,32.76,0.106,0.159,8.59,66.36,59.61,Danger,1
25.09,22.27,61.19,8.05,233.5,0.331,2.82,23.69,0.65,0.669,2.51,27.78,71.27,Warning,1
19.07,28.82,76.25,6.45,48.46,0.138,-9.75,34.77,0.949,0.862,0.52,9.7,62.66,Danger,1
18.2,20.65,32.03,6.33,634.41,0.242,-2.45,19.22,1.068,0.758,6.82,23.31,56.04,Danger,1
30.98,40.48,30.31,8.56,633.36,0.163,-9.5,44.02,1.16,0.837,6.81,60.09,64.58,Danger,1
36.82,22.63,89.72,7.36,617.3,0.985,14.19,26.74,0.037,0.015,6.64,100.0,38.86,Danger,1
35.89,24.55,81.95,7.8,221.33,0.414,11.34,28.87,0.402,0.586,2.38,63.02,59.49,Danger,1
19.72,15.9,52.52,6.06,169.29,0.725,3.82,15.02,1.343,0.275,1.82,32.65,40.05,Danger,1
34.25,24.51,87.85,7.78,128.92,0.144,9.73,29.41,0.381,0.856,1.39,48.19,70.3,Warning,1
21.8,30.22,94.47,6.01,16.96,0.993,-8.41,39.57,1.388,0.007,0.18,52.32,29.22,Danger,1
20.79,41.92,87.22,7.61,636.09,0.273,-21.13,61.32,0.209,0.727,6.84,33.22,65.38,Normal,0
31.08,23.84,73.14,8.51,18.58,0.596,7.24,26.96,1.109,0.404,0.2,64.76,55.72,Danger,1
37.23,22.61,69.7,7.66,405.28,0.678,14.62,24.9,0.261,0.322,4.36,75.5,48.85,Danger,1
30.47,37.75,93.92,7.26,526.42,0.012,-7.28,53.93,0.142,0.988,5.66,43.2,87.12,Normal,0
29.45,27.24,36.11,8.67,404.09,0.683,2.21,27.53,1.269,0.317,4.35,74.05,46.5,Danger,1
39.15,20.35,42.97,8.58,933.57,0.212,18.8,19.73,1.177,0.788,10.04,93.45,29.48,Danger,1
34.14,41.35,54.64,7.55,758.78,0.731,-7.21,51.58,0.151,0.269,8.16,75.97,55.38,Warning,1
30.54,18.14,88.76,8.6,816.45,0.1,12.4,20.22,1.197,0.9,8.78,70.47,69.24,Danger,1
34.36,15.69,93.65,7.13,735.86,0.888,18.67,17.19,0.269,0.112,7.91,94.23,43.81,Danger,1
25.02,33.26,67.76,7.23,615.62,0.935,-8.24,40.64,0.173,0.065,6.62,53.72,51.18,Danger,1
22.33,26.32,55.62,6.39,166.62,0.685,-3.99,28.58,1.007,0.315,1.79,30.97,41.02,Danger,1
39.01,22.31,36.43,8.26,901.3,0.278,16.7,21.54,0.861,0.722,9.69,87.04,42.81,Danger,1
22.09,30.66,60.45,6.78,46.21,0.481,-8.57,35.42,0.622,0.519,0.5,20.25,62.53,Danger,1
32.36,29.87,37.19,6.76,301.55,0.765,2.49,31.02,0.643,0.235,3.24,62.14,53.84,Danger,1
37.84,44.54,93.85,8.86,73.47,0.138,-6.7,69.39,1.459,0.862,0.79,87.0,42.81,Danger,1
30.16,17.91,84.98,7.85,554.84,0.165,12.25,19.65,0.45,0.835,5.97,45.78,79.25,Normal,0
21.53,40.56,67.97,8.21,302.84,0.371,-19.03,53.53,0.805,0.629,3.26,31.5,58.7,Warning,1
34.72,38.17,43.44,8.82,123.43,0.896,-3.45,43.72,1.425,0.104,1.33,96.28,20.5,Danger,1
23.82,40.39,41.67,7.24,460.21,0.245,-16.57,46.71,0.159,0.755,4.95,19.71,80.91,Normal,0
36.73,41.24,52.06,7.59,254.12,0.245,-4.51,50.71,0.193,0.755,2.73,53.44,63.94,Danger,1
38.68,41.64,80.53,7.55,501.89,0.53,-2.96,58.93,0.153,0.47,5.4,81.29,46.76,Danger,1
27.56,18.95,38.17,8.86,493.12,0.953,8.61,17.71,1.457,0.047,5.3,85.83,32.44,Danger,1
30.2,21.23,46.46,6.09,121.69,0.917,8.97,21.09,1.31,0.083,1.31,57.88,43.93,Danger,1
31.38,28.95,56.03,7.6,191.55,0.989,2.43,32.31,0.196,0.011,2.06,65.8,55.4,Danger,1
34.32,29.06,39.94,8.76,349.24,0.05,5.25,30.34,1.362,0.95,3.76,64.51,62.33,Danger,1
35.48,33.68,78.8,8.38,216.83,0.924,1.8,43.22,0.981,0.076,2.33,94.97,25.14,Danger,1
32.06,15.07,94.57,6.84,63.49,0.458,16.99,16.4,0.557,0.542,0.68,56.16,66.59,Warning,1
21.35,33.97,55.54,8.77,326.5,0.726,-12.62,39.66,1.366,0.274,3.51,60.21,35.71,Danger,1
32.52,32.99,60.73,8.85,350.6,0.177,-0.47,39.03,1.45,0.823,3.77,66.44,60.29,Danger,1
36.61,16.21,59.23,8.68,766.86,0.992,20.4,15.8,1.277,0.008,8.25,100.0,16.34,Danger,1
32.52,24.07,91.59,7.1,755.5,0.403,8.45,29.11,0.301,0.597,8.12,68.73,69.14,Warning,0
33.84,30.27,88.96,7.26,661.95,0.342,3.57,38.87,0.142,0.658,7.12,66.92,67.47,Warning,0
27.68,18.77,35.96,8.0,670.59,0.663,8.91,17.34,0.602,0.337,7.21,57.04,60.17,Warning,1
25.18,20.93,80.58,8.58,252.35,0.668,4.25,23.5,1.182,0.332,2.71,60.53,44.65,Danger,1
24.05,19.16,48.43,8.02,931.26,0.203,4.89,18.7,0.624,0.797,10.01,33.89,71.74,Warning,1
33.43,43.59,69.65,6.77,639.86,0.32,-10.16,59.98,0.635,0.68,6.88,54.87,69.16,Danger,1
26.79,35.56,31.51,7.2,895.24,0.61,-8.77,37.57,0.2,0.39,9.63,52.04,64.2,Warning,1
38.59,40.62,50.94,7.63,501.09,0.632,-2.03,49.38,0.234,0.368,5.39,79.84,39.5,Danger,1
23.37,42.38,90.05,8.53,1000.7,0.745,-19.01,63.13,1.13,0.255,10.76,79.6,34.91,Danger,1
34.78,29.42,59.67,6.72,659.65,0.289,5.36,33.47,0.679,0.711,7.09,58.09,61.54,Danger,1
30.89,27.3,44.23,8.45,880.36,0.168,3.59,28.58,1.048,0.832,9.47,62.52,66.56,Warning,1
25.39,38.93,84.55,6.41,792.15,0.116,-13.53,54.28,0.985,0.884,8.52,33.12,69.23,Danger,1
39.97,20.78,40.01,7.27,633.92,0.933,19.19,20.01,0.132,0.067,6.82,98.86,30.67,Danger,1
19.53,19.14,81.4,6.81,905.2,0.663,0.39,21.08,0.588,0.337,9.73,51.7,39.8,Warning,1
36.32,20.29,57.53,7.66,512.28,0.686,16.02,20.8,0.257,0.314,5.51,75.41,48.08,Danger,1
39.82,44.98,63.57,6.29,744.58,0.977,-5.16,60.98,1.114,0.023,8.01,100.0,14.24,Danger,1
28.15,27.74,33.34,8.02,361.46,0.787,0.4,27.83,0.617,0.213,3.89,57.13,51.63,Warning,1
36.07,27.5,50.9,8.25,819.82,0.491,8.57,29.65,0.846,0.509,8.82,84.64,42.71,Danger,1
21.17,41.37,36.25,6.46,546.12,0.068,-20.21,46.82,0.939,0.932,5.87,14.45,68.68,Danger,1
18.01,28.09,80.35,6.1,667.26,0.823,-10.08,34.13,1.295,0.177,7.17,52.45,25.11,Danger,1
21.23,40.82,83.5,7.62,838.04,0.093,-19.59,57.97,0.217,0.907,9.01,28.48,74.24,Normal,0
34.23,22.72,78.9,7.51,767.52,0.465,11.51,25.9,0.113,0.535,8.25,70.24,56.67,Warning,1
22.82,21.25,78.85,6.36,87.96,0.176,1.57,23.81,1.043,0.824,0.95,13.37,69.09,Danger,1
36.11,26.96,94.38,6.41,668.57,0.449,9.15,34.0,0.988,0.551,7.19,80.84,43.55,Danger,1
37.25,44.27,86.74,6.58,225.88,0.656,-7.02,66.57,0.823,0.344,2.43,79.22,35.61,Danger,1
34.16,31.99,65.81,8.49,726.88,0.027,2.17,38.28,1.086,0.973,7.82,64.33,62.47,Warning,1
31.23,29.59,46.91,7.26,775.34,0.827,1.65,31.98,0.144,0.173,8.34,71.44,56.47,Danger,1
26.48,23.12,63.92,6.94,577.07,0.677,3.36,25.07,0.456,0.323,6.21,46.91,62.34,Warning,1
18.02,21.37,88.14,7.94,175.92,0.89,-3.34,24.75,0.539,0.11,1.89,51.94,39.46,Danger,1
28.47,43.07,33.87,6.65,599.24,0.195,-14.59,48.71,0.754,0.805,6.44,34.13,73.21,Danger,1
22.71,17.97,43.45,7.27,180.19,0.135,4.74,16.92,0.132,0.865,1.94,9.26,79.6,Normal,0
25.05,25.82,33.59,7.07,270.9,0.61,-0.77,25.5,0.328,0.39,2.91,33.39,62.72,Warning,1
37.54,42.89,36.49,6.32,117.98,0.62,-5.35,49.19,1.078,0.38,1.27,67.95,31.44,Danger,1
36.75,37.63,83.29,7.58,1019.6,0.044,-0.88,51.4,0.178,0.956,10.96,68.59,69.6,Danger,1
25.13,43.46,67.5,8.42,174.26,0.979,-18.33,59.08,1.019,0.021,1.87,61.74,33.72,Danger,1
28.86,44.13,54.75,7.19,598.2,0.128,-15.27,56.6,0.207,0.872,6.43,32.57,88.24,Normal,0
22.25,18.1,86.3,7.77,366.92,0.409,4.15,20.0,0.368,0.591,3.95,32.39,67.38,Warning,0
31.93,42.8,90.63,7.17,336.84,0.451,-10.87,64.27,0.226,0.549,3.62,59.39,75.76,Warning,0
28.16,34.76,66.04,6.96,353.68,0.379,-6.6,42.81,0.438,0.621,3.8,35.23,80.25,Normal,1
21.65,36.69,55.29,6.64,575.61,0.756,-15.04,43.91,0.756,0.244,6.19,42.6,44.43,Danger,1
36.19,42.83,68.83,8.01,53.79,0.946,-6.64,58.19,0.607,0.054,0.58,80.72,32.7,Danger,1
38.33,32.37,30.3,6.12,696.07,0.563,5.96,33.21,1.284,0.437,7.48,80.45,28.13,Danger,1
34.36,40.56,62.27,7.4,5.6,0.787,-6.21,52.12,0.003,0.213,0.06,62.65,52.78,Warning,1
37.33,26.19,66.73,6.81,164.28,0.775,11.14,29.66,0.589,0.225,1.77,74.53,30.63,Danger,1
29.8,43.96,92.63,8.57,191.92,0.594,-14.16,67.61,1.167,0.406,2.06,75.8,49.67,Danger,1
26.24,18.03,82.71,7.45,577.37,0.982,8.21,19.67,0.045,0.018,6.21,64.77,50.39,Danger,1
27.35,26.1,57.15,6.36,813.03,0.838,1.25,28.46,1.045,0.162,8.74,61.04,46.9,Danger,1
24.68,41.23,31.56,7.56,474.34,0.69,-16.55,45.4,0.161,0.31,5.1,39.86,59.99,Warning,1
32.7,26.3,70.22,6.12,472.35,0.522,6.4,30.21,1.28,0.478,5.08,57.27,46.81,Danger,1
21.07,20.65,52.37,6.29,969.11,0.405,0.42,20.85,1.11,0.595,10.42,37.04,51.18,Danger,1
39.44,17.42,72.36,8.61,648.82,0.429,22.02,18.16,1.214,0.571,6.98,98.96,28.1,Danger,1
18.79,31.04,94.58,8.88,41.33,0.706,-12.25,41.04,1.476,0.294,0.44,68.31,27.35,Danger,1
37.87,16.35,90.83,8.51,120.21,0.06,21.51,17.92,1.112,0.94,1.29,74.8,54.7,Danger,1
21.43,31.05,89.52,7.7,406.37,0.445,-9.62,40.31,0.302,0.555,4.37,36.3,64.46,Warning,0
39.31,24.32,42.31,6.86,986.55,0.094,14.99,24.55,0.542,0.906,10.61,70.93,56.66,Danger,1
33.57,39.9,93.43,8.53,965.08,0.127,-6.33,58.43,1.126,0.873,10.38,84.43,58.79,Danger,1
30.0,31.3,88.43,8.92,721.05,0.483,-1.3,40.6,1.515,0.517,7.75,89.94,43.84,Danger,1
26.5,25.85,55.45,6.27,79.22,0.78,0.65,27.92,1.131,0.22,0.85,40.4,45.81,Danger,1
38.48,33.37,32.29,6.47,210.55,0.976,5.11,34.82,0.927,0.024,2.26,86.98,21.8,Danger,1
29.35,43.09,93.52,6.71,50.25,0.154,-13.74,65.75,0.691,0.846,0.54,35.02,76.55,Danger,1
22.29,32.06,89.31,7.61,640.39,0.202,-9.76,42.07,0.212,0.798,6.89,31.5,71.8,Normal,0
31.59,40.92,91.67,7.04,92.66,0.226,-9.33,60.26,0.356,0.774,1.0,44.64,81.94,Normal,0
38.81,26.35,80.1,7.62,187.01,0.321,12.46,31.39,0.221,0.679,2.01,66.32,53.92,Danger,1
32.8,28.04,44.86,8.17,172.76,0.937,4.76,29.63,0.766,0.063,1.86,76.73,39.87,Danger,1
20.36,29.93,63.77,7.52,446.71,0.995,-9.57,34.79,0.125,0.005,4.8,49.4,39.39,Danger,1
28.51,27.65,34.34,7.78,233.21,0.638,0.86,27.84,0.379,0.362,2.51,44.06,67.25,Warning,1
39.59,29.07,88.29,7.43,61.72,0.822,10.52,36.75,0.027,0.178,0.66,90.13,33.82,Danger,1
35.2,27.85,71.47,8.57,645.58,0.348,7.35,32.65,1.169,0.652,6.94,81.34,47.25,Danger,1
32.78,43.82,54.11,7.28,830.8,0.506,-11.04,55.85,0.125,0.494,8.93,64.44,63.87,Warning,1
28.11,21.46,78.44,6.39,203.15,0.627,6.65,24.07,1.007,0.373,2.18,46.0,50.12,Danger,1
37.68,23.18,37.2,8.87,157.97,0.198,14.51,22.65,1.468,0.802,1.7,79.06,40.54,Danger,1
29.65,41.48,79.44,8.12,179.21,0.358,-11.84,58.32,0.724,0.642,1.93,47.93,64.7,Warning,1
21.24,23.2,50.04,6.38,562.9,0.705,-1.96,23.89,1.018,0.295,6.05,40.31,40.94,Danger,1
28.58,38.47,78.62,8.45,458.55,0.821,-9.88,52.02,1.045,0.179,4.93,76.88,42.46,Danger,1
25.94,20.29,60.39,7.18,246.47,0.752,5.65,21.02,0.224,0.248,2.65,41.19,67.72,Warning,1
24.0,18.93,58.52,6.91,377.77,0.236,5.07,19.14,0.491,0.764,4.06,17.57,74.67,Normal,1
38.46,29.94,71.79,8.6,1021.8,0.614,8.52,35.92,1.202,0.386,10.99,100.0,23.49,Danger,1
37.99,38.74,59.96,6.24,16.17,0.477,-0.75,48.33,1.157,0.523,0.17,61.4,39.94,Danger,1
26.96,32.05,65.89,8.51,111.16,0.225,-5.08,38.37,1.11,0.775,1.2,38.03,69.16,Danger,1
36.65,44.84,86.74,8.67,321.58,0.402,-8.19,67.94,1.27,0.598,3.46,91.05,36.42,Danger,1
31.34,43.16,52.4,7.67,303.11,0.17,-11.83,54.17,0.271,0.83,3.26,35.33,79.07,Normal,0
19.27,43.48,56.19,8.5,697.0,0.192,-24.2,55.83,1.102,0.808,7.49,40.23,54.53,Danger,1
35.86,22.94,89.36,6.42,693.3,0.814,12.92,27.17,0.98,0.186,7.45,92.76,27.9,Danger,1
24.08,43.94,47.2,7.29,442.46,0.253,-19.86,54.0,0.11,0.747,4.76,19.87,78.28,Normal,0
34.98,26.35,84.28,6.64,4.4,0.571,8.63,31.86,0.761,0.429,0.05,63.03,43.26,Danger,1
18.85,21.24,63.73,8.43,91.09,0.395,-2.39,22.53,1.03,0.605,0.98,33.51,42.83,Warning,1
26.17,20.67,42.71,7.23,490.44,0.862,5.51,20.09,0.17,0.138,5.27,51.54,57.12,Danger,1
33.19,44.49,56.77,7.21,944.58,0.246,-11.3,57.9,0.19,0.754,10.16,57.72,71.46,Warning,0
34.6,17.93,60.44,6.6,189.64,0.464,16.67,18.02,0.798,0.536,2.04,54.43,56.95,Danger,1
35.51,42.23,82.18,6.8,280.44,0.255,-6.71,60.64,0.602,0.745,3.02,56.85,61.66,Danger,1
38.76,27.06,44.6,8.54,408.38,0.035,11.7,28.31,1.14,0.965,4.39,72.98,48.69,Danger,1
